Date,Price,Open,High,Low,Vol.,Change %,Sector,value
2022-09-14,12.0,12.0,12.0,12.0,0.01K,0.0,bank,BH
2022-09-13,12.0,12.0,12.0,12.0,0.00K,-1.23,bank,BH
2022-09-12,12.15,12.25,12.25,12.08,3.26K,0.5,bank,BH
2022-09-09,12.09,11.75,12.1,11.75,2.57K,2.89,bank,BH
2022-09-08,11.75,11.0,11.75,11.0,4.28K,5.86,bank,BH
2022-09-07,11.1,10.8,11.1,10.8,2.09K,1.93,bank,BH
2022-09-06,10.89,10.7,10.89,10.7,3.06K,0.09,bank,BH
2022-09-05,10.88,10.87,10.89,10.7,3.23K,-0.09,bank,BH
2022-09-02,10.89,10.89,10.89,10.89,0.01K,0.0,bank,BH
2022-09-01,10.89,10.75,10.89,10.75,3.36K,1.78,bank,BH
2022-08-31,10.7,10.5,10.75,10.5,9.00K,1.9,bank,BH
2022-08-30,10.5,10.4,10.5,10.31,0.32K,0.96,bank,BH
2022-08-29,10.4,10.75,10.75,10.4,0.02K,-5.28,bank,BH
2022-08-26,10.98,10.46,10.98,10.46,0.86K,-0.09,bank,BH
2022-08-25,10.99,10.46,10.99,10.46,0.10K,0.0,bank,BH
2022-08-24,10.99,10.99,10.99,10.99,0.00K,4.57,bank,BH
2022-08-23,10.51,10.46,10.51,10.46,0.27K,0.1,bank,BH
2022-08-22,10.5,10.7,10.9,10.5,14.78K,0.0,bank,BH
2022-08-19,10.5,10.5,10.5,10.5,0.20K,0.0,bank,BH
2022-08-18,10.5,10.5,10.5,10.5,0.31K,0.38,bank,BH
2022-08-17,10.46,10.6,10.89,10.46,1.41K,-3.59,bank,BH
2022-08-16,10.85,10.87,10.89,10.85,1.00K,3.93,bank,BH
2022-08-15,10.44,10.44,10.44,10.44,0.00K,-3.33,bank,BH
2022-08-12,10.8,10.44,10.8,10.44,0.21K,-0.37,bank,BH
2022-08-11,10.84,10.43,10.84,10.43,0.01K,-0.55,bank,BH
2022-08-10,10.9,10.2,10.9,10.2,2.84K,5.31,bank,BH
2022-08-09,10.35,9.96,10.35,9.96,1.27K,2.27,bank,BH
2022-08-08,10.12,10.0,10.12,10.0,0.08K,1.5,bank,BH
2022-08-05,9.97,10.2,10.2,9.97,1.00K,-0.3,bank,BH
2022-08-04,10.0,10.01,10.01,10.0,2.00K,-0.79,bank,BH
2022-08-03,10.08,10.05,10.1,10.0,1.93K,-1.66,bank,BH
2022-08-02,10.25,10.0,10.45,10.0,0.63K,2.4,bank,BH
2022-08-01,10.01,10.0,10.01,10.0,0.15K,0.1,bank,BH
2022-07-29,10.0,10.2,10.2,10.0,0.95K,-1.19,bank,BH
2022-07-27,10.12,10.2,10.29,10.12,2.13K,-0.1,bank,BH
